Ticker Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Country,Date first added,CIK,Financials?
IVZ,Invesco Ltd.,reports,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",United States,8/21/2008,914208,1
IRM,Iron Mountain Incorporated,reports,Real Estate,REITs,"Boston, Massachusetts",United States,1/6/2009,1020569,1
JBHT,J. B. Hunt Transport Services,reports,Industrials,Trucking,"Lowell, Arkansas",United States,7/1/2015,728535,1
JEC,Jacobs Engineering Group,reports,Industrials,Industrial Conglomerates,"Pasadena, California",United States,10/26/2007,52988,1
SJM,JM Smucker,reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",United States,11/6/2008,91419,1
JNJ,Johnson & Johnson,reports,Health Care,Health Care Equipment,"New Brunswick, New Jersey",United States,6/30/1973,200406,0
JCI,Johnson Controls International,reports,Industrials,Building Products,Cork,Ireland,8/27/2010,833444,0
JPM,JPMorgan Chase & Co.,reports,Financials,Banks,"New York, New York",United States,6/30/1975,19617,1
JNPR,Juniper Networks,reports,Information Technology,Networking Equipment,"Sunnyvale, California",United States,,1043604,1
KSU,Kansas City Southern,reports,Industrials,Railroads,"Kansas City, Missouri",United States,5/24/2013,54480,0
K,Kellogg Co.,reports,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",United States,,55067,1
KEY,KeyCorp,reports,Financials,Banks,"Cleveland, Ohio",United States,3/1/1994,91576,0
KMB,Kimberly-Clark,reports,Consumer Staples,Household Products,"Irving, Texas",United States,,55785,1
KIM,Kimco Realty,reports,Real Estate,REITs,"New Hyde Park, New York",United States,,879101,1
KMI,Kinder Morgan,reports,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",United States,5/25/2012,1506307,1
KLAC,KLA-Tencor Corp.,reports,Information Technology,Semiconductor Equipment,"Milpitas, California",United States,,319201,1
KSS,Kohl's Corp.,reports,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",United States,,885639,0
KHC,Kraft Heinz Co,reports,Consumer Staples,Packaged Foods & Meats,"Pittsburgh, Pennsylvania",United States,7/6/2015,1545158,0
KR,Kroger Co.,reports,Consumer Staples,Food Retail,"Cincinnati, Ohio",United States,,56873,1
LB,L Brands Inc.,reports,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",United States,9/30/1983,701985,0
LLL,L-3 Communications Holdings,reports,Industrials,Industrial Conglomerates,"New York, New York",United States,,1056239,0
LH,Laboratory Corp. of America Holding,reports,Health Care,Health Care Facilities,"Burlington, North Carolina",United States,,920148,0
LRCX,Lam Research,reports,Information Technology,Semiconductor Equipment,"Fremont, California",United States,6/29/2012,707549,0
LEG,Leggett & Platt,reports,Industrials,Industrial Conglomerates,"Carthage, Missouri",United States,,58492,0
LEN,Lennar Corp.,reports,Consumer Discretionary,Homebuilding,"Miami, Florida",United States,,920760,0
LUK,Leucadia National Corp.,reports,Financials,Multi-Sector Holdings,"New York, New York",United States,8/27/2007,96223,0
LVLT,Level 3 Communications,reports,Telecommunications Services,Alternative Carriers,"Broomfield, Colorado",United States,11/5/2014,794323,0
LLY,Lilly (Eli) & Co.,reports,Health Care,Pharmaceuticals,"Indianapolis, Indiana",United States,12/31/1970,59478,0
LNC,Lincoln National,reports,Financials,Multi-line Insurance,"Radnor, Pennsylvania",United States,6/30/1976,59558,0
LLTC,Linear Technology Corp.,reports,Information Technology,Semiconductors,"Milpitas, California",United States,,791907,0
LKQ,LKQ Corporation,reports,Consumer Discretionary,Distributors,"Chicago, Illinois",United States,5/23/2016,1065696,0
LMT,Lockheed Martin Corp.,reports,Industrials,Aerospace & Defense,"Bethesda, Maryland",United States,7/31/1984,936468,0
L,Loews Corp.,reports,Financials,Multi-Sector Holdings,"New York, New York",United States,,60086,0
LOW,Lowe's Cos.,reports,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",United States,2/29/1984,60667,0
LYB,LyondellBasell,reports,Materials,Diversified Chemicals,Rotterdam,Netherlands,9/5/2012,1489393,0
MTB,M&T Bank Corp.,reports,Financials,Banks,"Buffalo, New York",United States,,36270,1
MAC,Macerich,reports,Real Estate,Retail REITs,"Santa Monica, California",United States,5/9/2013,912242,0
M,Macy's Inc.,reports,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",United States,,794367,0
MNK,Mallinckrodt Plc,reports,Health Care,Pharmaceuticals,Dublin,Ireland,8/19/2014,1567892,0
MRO,Marathon Oil Corp.,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",United States,5/1/1991,101778,1
MPC,Marathon Petroleum,reports,Energy,Oil & Gas Refining & Marketing & Transportation,"Findlay, Ohio",United States,7/1/2011,1510295,1
MAR,Marriott Int'l.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",United States,,1048286,0
MMC,Marsh & McLennan,reports,Financials,Insurance Brokers,"New York, New York",United States,8/31/1987,62709,1
MLM,Martin Marietta Materials,reports,Materials,Construction Materials,"Raleigh, North Carolina",United States,7/2/2014,916076,1
MAS,Masco Corp.,reports,Industrials,Building Products,"Taylor, Michigan",United States,6/30/1981,62996,1
MA,Mastercard Inc.,reports,Information Technology,Internet Software & Services,"Harrison, New York",United States,7/18/2008,1141391,0
MAT,Mattel Inc.,reports,Consumer Discretionary,Leisure Products,"El Segundo, California",United States,3/31/1982,63276,1
MKC,McCormick & Co.,reports,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",United States,,63754,1
MCD,McDonald's Corp.,reports,Consumer Discretionary,Restaurants,"Oak Brook, Illinois",United States,6/30/1970,63908,0
MCK,McKesson Corp.,reports,Health Care,Health Care Distributors,"San Francisco, California",United States,,927653,1
MJN,Mead Johnson,reports,Consumer Staples,Packaged Foods & Meats,"Glenview, Illinois",United States,12/21/2009,1452575,1
MDT,Medtronic plc,reports,Health Care,Health Care Equipment,Dublin,Ireland,10/31/1986,64670,0
MRK,Merck & Co.,reports,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",United States,,310158,1
MET,MetLife Inc.,reports,Financials,Life & Health Insurance,"New York, New York",United States,,1099219,1
MTD,Mettler Toledo,reports,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",United States,9/6/2016,1037646,1
KORS,Michael Kors Holdings,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",United States,11/13/2013,1530721,1
MCHP,Microchip Technology,reports,Information Technology,Semiconductors,"Chandler, Arizona",United States,9/7/2007,827054,1
MU,Micron Technology,reports,Information Technology,Semiconductors,"Boise, Idaho",United States,9/27/1994,723125,1
MSFT,Microsoft Corp.,reports,Information Technology,Systems Software,"Redmond, Washington",United States,6/1/1994,789019,1
MAA,Mid-America Apartments,reports,Real Estate,Residential REITs,"Memphis, Tennessee",United States,12/2/2016,912595,0
MHK,Mohawk Industries,reports,Consumer Discretionary,Home Furnishings,"Amsterdam, New York",United States,12/23/2013,851968,1
TAP,Molson Coors Brewing Company,reports,Consumer Staples,Brewers,"Denver, Colorado",United States,6/30/1976,24545,1
MDLZ,Mondelez International,reports,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",United States,10/2/2012,1103982,1
MON,Monsanto Co.,reports,Materials,Fertilizers & Agricultural Chemicals,"Creve Coeur, Missouri",United States,8/7/2002,1110783,1
MNST,Monster Beverage,reports,Consumer Staples,Soft Drinks,"Corona, California",United States,6/28/2012,865752,0
MCO,Moody's Corp,reports,Financials,Diversified Financial Services,"New York, New York",United States,,1059556,0
MS,Morgan Stanley,reports,Financials,Investment Banking & Brokerage,"New York, New York",United States,,895421,0
MSI,Motorola Solutions Inc.,reports,Information Technology,Telecommunications Equipment,"Schaumburg, Illinois",United States,,68505,0
MUR,Murphy Oil,reports,Energy,Integrated Oil & Gas,"El Dorado, Arkansas",United States,,717423,1
MYL,Mylan N.V.,reports,Health Care,Pharmaceuticals,Amsterdam,Netherlands,,69499,1
NDAQ,NASDAQ OMX Group,reports,Financials,Diversified Financial Services,"New York, New York",United States,10/22/2008,1120193,1
NOV,National Oilwell Varco Inc.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",United States,,1021860,1
NAVI,Navient,reports,Financials,Consumer Finance,"Newark, Delaware",United States,5/1/2014,1593538,1
NTAP,NetApp,reports,Information Technology,Internet Software & Services,"Sunnyvale, California",United States,,1002047,1
NFLX,Netflix Inc.,reports,Information Technology,Internet Software & Services,"Los Gatos, California",United States,12/20/2010,1065280,1
NWL,Newell Brands,reports,Consumer Discretionary,Housewares & Specialties,"Sandy Springs, Georgia",United States,4/30/1989,814453,1
NFX,Newfield Exploration Co,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",United States,12/20/2010,912750,1
NEM,Newmont Mining Corp. (Hldg. Co.),reports,Materials,Gold,"Denver, Colorado",United States,6/30/1969,1164727,1
NWSA,News Corp. Class A,reports,Consumer Discretionary,Publishing,"New York, New York",United States,8/1/2013,1564708,1
NWS,News Corp. Class B,reports,Consumer Discretionary,Publishing,"New York, New York",United States,9/18/2015,1564708,0
NEE,NextEra Energy,reports,Utilities,MultiUtilities,"Juno Beach, Florida",United States,6/30/1976,753308,1
NLSN,Nielsen Holdings,reports,Industrials,Research & Consulting Services,"New York, New York",United States,7/9/2013,1492633,1
NKE,Nike,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",United States,11/30/1988,320187,1
NI,NiSource Inc.,reports,Utilities,MultiUtilities,"Merrillville, Indiana",United States,,1111711,0
NBL,Noble Energy Inc,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",United States,10/8/2007,72207,1
JWN,Nordstrom,reports,Consumer Discretionary,Department Stores,"Seattle, Washington",United States,8/31/1986,72333,1
NSC,Norfolk Southern Corp.,reports,Industrials,Railroads,"Norfolk, Virginia",United States,,702165,1
NTRS,Northern Trust Corp.,reports,Financials,Asset Management & Custody Banks,"Chicago, Illinois",United States,,73124,1
NOC,Northrop Grumman Corp.,reports,Industrials,Aerospace & Defense,"West Falls Church, Virginia",United States,6/30/1985,1133421,0
NRG,NRG Energy,reports,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",United States,1/29/2010,1013871,0
NUE,Nucor Corp.,reports,Materials,Steel,"Charlotte, North Carolina",United States,4/30/1985,73309,1
NVDA,Nvidia Corporation,reports,Information Technology,Semiconductors,"Santa Clara, California",United States,,1045810,1
ORLY,O'Reilly Automotive,reports,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",United States,3/27/2009,898173,0
OXY,Occidental Petroleum,reports,Energy,Oil & Gas Exploration & Production,"Los Angeles, California",United States,12/31/1982,797468,1
OMC,Omnicom Group,reports,Consumer Discretionary,Advertising,"New York, New York",United States,,29989,1
OKE,ONEOK,reports,Energy,Oil & Gas Exploration & Production,"Tulsa, Oklahoma",United States,3/15/2010,1039684,1
ORCL,Oracle Corp.,reports,Information Technology,Application Software,"Redwood Shores, California",United States,8/31/1989,1341439,0
PCAR,PACCAR Inc.,reports,Industrials,Construction & Farm Machinery & Heavy Trucks,"Bellevue, Washington",United States,12/31/1980,75362,1
PH,Parker-Hannifin,reports,Industrials,Industrial Conglomerates,"Cleveland, Ohio",United States,11/30/1985,76334,1
PDCO,Patterson Companies,reports,Health Care,Health Care Supplies,"St. Paul, Minnesota",United States,,891024,1
PAYX,Paychex Inc.,reports,Information Technology,Internet Software & Services,"Penfield, New York",United States,,723531,1
PYPL,PayPal,reports,Information Technology,Data Processing & Outsourced Services,"San Jose, California",United States,7/20/2015,1633917,1
PNR,Pentair Ltd.,reports,Industrials,Industrial Machinery,Worsley,United Kingdom,10/1/2012,77360,1
PBCT,People's United Financial,reports,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",United States,11/13/2008,1378946,0
PEP,PepsiCo Inc.,reports,Consumer Staples,Soft Drinks,"Purchase, New York",United States,,77476,1
PKI,PerkinElmer,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",United States,5/31/1985,31791,1
PRGO,Perrigo,reports,Health Care,Pharmaceuticals,Dublin,Ireland,12/19/2011,1585364,0
PFE,Pfizer Inc.,reports,Health Care,Pharmaceuticals,"New York, New York",United States,,78003,1
PCG,PG&E Corp.,reports,Utilities,MultiUtilities,"San Francisco, California",United States,,1004980,1
PM,Philip Morris International,reports,Consumer Staples,Tobacco,"New York, New York",United States,3/31/2008,1413329,1
PSX,Phillips 66,reports,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",United States,5/1/2012,1534701,1
PNW,Pinnacle West Capital,reports,Utilities,MultiUtilities,"Phoenix, Arizona",United States,,764622,1
PXD,Pioneer Natural Resources,reports,Energy,Oil & Gas Exploration & Production,"Irving, Texas",United States,9/24/2008,1038357,0
PBI,Pitney-Bowes,reports,Industrials,"Technology, Hardware, Software and Supplies","Stamford, Connecticut",United States,,78814,1
PNC,PNC Financial Services,reports,Financials,Banks,"Pittsburgh, Pennsylvania",United States,4/30/1988,713676,1
RL,Polo Ralph Lauren Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",United States,2/2/2007,1037038,1
PPG,PPG Industries,reports,Materials,Diversified Chemicals,"Pittsburgh, Pennsylvania",United States,,79879,1
PPL,PPL Corp.,reports,Utilities,Electric Utilities,"Allentown, Pennsylvania",United States,,922224,1
PX,Praxair Inc.,reports,Materials,Industrial Gases,"Danbury, Connecticut",United States,7/1/1992,884905,1
PCLN,Priceline.com Inc,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",United States,11/6/2009,1075531,1
PFG,Principal Financial Group,reports,Financials,Diversified Financial Services,"Des Moines, Iowa",United States,,1126328,1
PG,Procter & Gamble,reports,Consumer Staples,Personal Products,"Cincinnati, Ohio",United States,,80424,0
PGR,Progressive Corp.,reports,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",United States,,80661,1
PLD,Prologis,reports,Real Estate,REITs,"San Francisco, California",United States,,1045609,0
PRU,Prudential Financial,reports,Financials,Diversified Financial Services,"Newark, New Jersey",United States,,1137774,1
PEG,Public Serv. Enterprise Inc.,reports,Utilities,Electric Utilities,"Newark, New Jersey",United States,,788784,1
PSA,Public Storage,reports,Real Estate,REITs,"Glendale, California",United States,,1393311,0
PHM,Pulte Homes Inc.,reports,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",United States,4/30/1984,822416,1
PVH,PVH Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",United States,2/15/2013,78239,1
QRVO,Qorvo,reports,Information Technology,Semiconductors,"Greensboro, North Carolina",United States,6/11/2015,1604778,1
QCOM,QUALCOMM Inc.,reports,Information Technology,Semiconductors,"San Diego, California",United States,,804328,1
PWR,Quanta Services Inc.,reports,Industrials,Industrial Conglomerates,"Houston, Texas",United States,7/1/2009,1050915,1
DGX,Quest Diagnostics,reports,Health Care,Health Care Facilities,"Madison, New Jersey",United States,,1022079,1
RRC,Range Resources Corp.,reports,Energy,Oil & Gas Exploration & Production,"Fort Worth, Texas",United States,12/21/2007,315852,1
RTN,Raytheon Co.,reports,Industrials,Aerospace & Defense,"Waltham, Massachusetts",United States,,1047122,0
O,Realty Income Corporation,reports,Real Estate,Retail REITs,"San Diego, California",United States,4/7/2015,726728,1
RHT,Red Hat Inc.,reports,Information Technology,Systems Software,"Raleigh, North Carolina",United States,7/27/2009,1087423,1
REGN,Regeneron,reports,Health Care,Biotechnology,"Tarrytown, New York",United States,5/1/2013,872589,1
RF,Regions Financial Corp.,reports,Financials,Diversified Financial Services,"Birmingham, Alabama",United States,,1281761,0
RSG,Republic Services Inc,reports,Industrials,Industrial Conglomerates,"Phoenix, Arizona",United States,12/5/2008,1060391,1
RAI,Reynolds American Inc.,reports,Consumer Staples,Tobacco,"Winston-Salem, North Carolina",United States,,1275283,0
RHI,Robert Half International,reports,Industrials,Human Resource & Employment Services,"Menlo Park, California",United States,,315213,1
ROK,Rockwell Automation Inc.,reports,Industrials,Industrial Conglomerates,"Milwaukee, Wisconsin",United States,,1024478,1
COL,Rockwell Collins,reports,Industrials,Industrial Conglomerates,"Cedar Rapids, Iowa",United States,,1137411,1
ROP,Roper Industries,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",United States,12/23/2009,882835,1
ROST,Ross Stores,reports,Consumer Discretionary,Apparel Retail,"Pleasanton, California",United States,12/21/2009,745732,1
RCL,Royal Caribbean Cruises Ltd,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",United States,12/5/2014,884887,1
R,Ryder System,reports,Industrials,Industrial Conglomerates,"Miami, Florida",United States,12/31/1982,85961,1
SPGI,"S&P Global, Inc.",reports,Financials,Diversified Financial Services,"New York, New York",United States,,64040,1
CRM,Salesforce.com,reports,Information Technology,Internet Software & Services,"San Francisco, California",United States,9/15/2008,1108524,1
SCG,SCANA Corp,reports,Utilities,MultiUtilities,"Cayce, South Carolina",United States,1/2/2009,754737,1
SLB,Schlumberger Ltd.,reports,Energy,Oil & Gas Equipment & Services,Curacao,Netherlands,3/31/1965,87347,0
SNI,Scripps Networks Interactive Inc.,reports,Consumer Discretionary,Broadcasting & Cable TV,"Cincinnati, Ohio",United States,7/1/2008,1430602,1
STX,Seagate Technology,reports,Information Technology,Computer Storage & Peripherals,Dublin,Ireland,7/2/2012,1137789,1
SEE,Sealed Air,reports,Materials,Paper Packaging,"Elmwood Park, New Jersey",United States,,1012100,1
SRE,Sempra Energy,reports,Utilities,MultiUtilities,"San Diego, California",United States,,1032208,1
SHW,Sherwin-Williams,reports,Materials,Specialty Chemicals,"Cleveland, Ohio",United States,6/30/1964,89800,1
SIG,Signet Jewelers,reports,Consumer Discretionary,Specialty Stores,Hamilton,Bermuda,7/29/2015,832988,1
SPG,Simon Property Group Inc,reports,Real Estate,REITs,"Indianapolis, Indiana",United States,,1063761,1
SWKS,Skyworks Solutions,reports,Information Technology,Semiconductors,"Woburn, Massachusetts",United States,3/12/2015,4127,1
SLG,SL Green Realty,reports,Real Estate,Office REITs,"New York, New York",United States,3/20/2015,1040971,1
SNA,Snap-On Inc.,reports,Consumer Discretionary,Household Appliances,"Kenosha, Wisconsin",United States,9/30/1982,91440,1
SO,Southern Co.,reports,Utilities,Electric Utilities,"Atlanta, Georgia",United States,,92122,1
LUV,Southwest Airlines,reports,Industrials,Airlines,"Dallas, Texas",United States,7/1/1994,92380,0
SWN,Southwestern Energy,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",United States,6/6/2008,7332,1
SE,Spectra Energy Corp.,reports,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",United States,,1373835,1
SWK,Stanley Black & Decker,reports,Consumer Discretionary,Household Appliances,"New Britain, Connecticut",United States,9/30/1982,93556,1
SPLS,Staples Inc.,reports,Consumer Discretionary,Specialty Stores,"Framingham, Massachusetts",United States,,791519,1
SBUX,Starbucks Corp.,reports,Consumer Discretionary,Restaurants,"Seattle, Washington",United States,,829224,1
STT,State Street Corp.,reports,Financials,Diversified Financial Services,"Boston, Massachusetts",United States,,93751,1
SRCL,Stericycle Inc,reports,Industrials,Industrial Conglomerates,"Lake Forest, Illinois",United States,11/19/2008,861878,1
SYK,Stryker Corp.,reports,Health Care,Health Care Equipment,"Kalamazoo, Michigan",United States,,310764,1
STI,SunTrust Banks,reports,Financials,Banks,"Atlanta, Georgia",United States,5/31/1988,750556,1
SYMC,Symantec Corp.,reports,Information Technology,Application Software,"Mountain View, California",United States,3/25/2003,849399,1
SYF,Synchrony Financial,reports,Financials,Consumer Finance,"Stamford, Connecticut",United States,11/18/2015,1601712,1
SYY,Sysco Corp.,reports,Consumer Staples,Food Distributors,"Houston, Texas",United States,12/31/1986,96021,1
TROW,T. Rowe Price Group,reports,Financials,Diversified Financial Services,"Baltimore, Maryland",United States,,1113169,0
TGT,Target Corp.,reports,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",United States,12/31/1976,27419,1
TEL,TE Connectivity Ltd.,reports,Information Technology,Electronic Manufacturing Services,Schaffhausen,Switzerland,10/17/2011,1385157,1
TGNA,"Tegna, Inc.",reports,Consumer Discretionary,Publishing,"McLean, Virginia",United States,12/31/1975,39899,1
TDC,Teradata Corp.,reports,Information Technology,Application Software,"Miamisburg, Ohio",United States,10/1/2007,816761,1
TSO,Tesoro Petroleum Co.,reports,Energy,Oil & Gas Refining & Marketing & Transportation,"San Antonio, Texas",United States,9/27/2007,50104,1
TXN,Texas Instruments,reports,Information Technology,Semiconductors,"Dallas, Texas",United States,,97476,1
TXT,Textron Inc.,reports,Industrials,Industrial Conglomerates,"Providence, Rhode Island",United States,12/31/1978,217346,1
BK,The Bank of New York Mellon Corp.,reports,Financials,Banks,"New York, New York",United States,,1390777,1
CLX,The Clorox Company,reports,Consumer Staples,Household Products,"Oakland, California",United States,3/31/1969,21076,1
COO,The Cooper Companies,reports,Health Care,Health Care Supplies,"Pleasanton, California",United States,9/23/2016,711404,1
HSY,The Hershey Company,reports,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",United States,,47111,0
MOS,The Mosaic Company,reports,Materials,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota",United States,9/26/2011,1285785,1
TRV,The Travelers Companies Inc.,reports,Financials,Property & Casualty Insurance,"New York, New York",United States,,86312,1
DIS,The Walt Disney Company,reports,Consumer Discretionary,Broadcasting & Cable TV,"Burbank, California",United States,6/30/1976,1001039,1
TMO,Thermo Fisher Scientific,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",United States,,97745,1
TIF,Tiffany & Co.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",United States,,98246,1
TWX,Time Warner Inc.,reports,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",United States,,1105705,0
TJX,TJX Companies Inc.,reports,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",United States,9/30/1985,109198,1
TMK,Torchmark Corp.,reports,Financials,Life & Health Insurance,"McKinney, Texas",United States,4/30/1989,320335,1
TSS,Total System Services,reports,Information Technology,Internet Software & Services,"Columbus, Georgia",United States,1/2/2008,721683,1
TSCO,Tractor Supply Company,reports,Consumer Discretionary,Specialty Retail,"Brentwood, Tennessee",United States,1/24/2014,916365,1
TDG,TransDigm Group,reports,Industrials,Aerospace & Defense,"Cleveland, Ohio",United States,6/3/2016,1260221,1
RIG,Transocean,reports,Energy,Oil & Gas Drilling,Vernier,Switzerland,10/29/2013,1451505,0
TRIP,TripAdvisor,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Newton, Massachusetts",United States,12/21/2011,1526520,1
FOXA,Twenty-First Century Fox Class A,reports,Consumer Discretionary,Publishing,"New York, New York",United States,7/1/2013,1308161,0
FOX,Twenty-First Century Fox Class B,reports,Consumer Discretionary,Publishing,"New York, New York",United States,9/18/2015,1308161,0
TSN,Tyson Foods,reports,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",United States,,100493,0
USB,U.S. Bancorp,reports,Financials,Banks,"Minneapolis, Minnesota",United States,,36104,0
UDR,UDR Inc,reports,Real Estate,Residential REITs,"Highlands Ranch, Colorado",United States,3/7/2016,74208,1
ULTA,Ulta Salon Cosmetics & Fragrance Inc,reports,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",United States,4/18/2016,1403568,1
UA,Under Armour,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",United States,5/1/2014,1336917,0
UAA,Under Armour,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",United States,3/25/2016,1336917,0
UNP,Union Pacific,reports,Industrials,Railroads,"Omaha, Nebraska",United States,,100885,1
UAL,United Continental Holdings,reports,Industrials,Airlines,"Chicago, Illinois",United States,9/3/2015,100517,1
UNH,United Health Group Inc.,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",United States,7/1/1994,731766,1
UPS,United Parcel Service,reports,Industrials,Air Freight & Logistics,"Atlanta, Georgia",United States,,1090727,1
URI,"United Rentals, Inc.",reports,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",United States,9/20/2014,1067701,0
UTX,United Technologies,reports,Industrials,Industrial Conglomerates,"Hartford, Connecticut",United States,,101829,1
UHS,"Universal Health Services, Inc.",reports,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",United States,9/20/2014,352915,1
UNM,Unum Group,reports,Financials,Diversified Financial Services,"Chattanooga, Tennessee",United States,3/1/1994,5513,1
URBN,Urban Outfitters,reports,Consumer Discretionary,Apparel Retail,"Philadelphia, Pennsylvania",United States,2/8/2010,912615,1
VFC,V.F. Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",United States,6/30/1979,103379,1
VLO,Valero Energy,reports,Energy,Oil & Gas Refining & Marketing & Transportation,"San Antonio, Texas",United States,,1035002,1
VAR,Varian Medical Systems,reports,Health Care,Health Care Equipment,"Palo Alto, California",United States,2/12/2007,203527,1
VTR,Ventas Inc,reports,Real Estate,REITs,"Chicago, Illinois",United States,3/4/2009,740260,1
VRSN,Verisign Inc.,reports,Information Technology,Internet Software & Services,"Dulles, Virginia",United States,,1014473,1
VRSK,Verisk Analytics,reports,Industrials,Research & Consulting Services,"Jersey City, New Jersey",United States,10/8/2015,1442145,1
VZ,Verizon Communications,reports,Telecommunications Services,Integrated Telecommunications Services,"New York, New York",United States,11/30/1983,732712,1
VRTX,Vertex Pharmaceuticals Inc,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",United States,9/23/2013,875320,1
VIAB,Viacom Inc.,reports,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",United States,,1339947,1
V,Visa Inc.,reports,Information Technology,Internet Software & Services,"San Francisco, California",United States,12/21/2009,1403161,0
VNO,Vornado Realty Trust,reports,Real Estate,REITs,"New York, New York",United States,,899689,1
VMC,Vulcan Materials,reports,Materials,Construction Materials,"Birmingham, Alabama",United States,,1396009,1
WMT,Wal-Mart Stores,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",United States,8/31/1982,104169,1
WBA,Walgreens Boots Alliance,reports,Consumer Staples,Drug Retail,"Deerfield, Illinois",United States,12/31/1979,1618921,0
WM,Waste Management Inc.,reports,Industrials,Environmental Services,"Houston, Texas",United States,,823768,1
WAT,Waters Corporation,reports,Health Care,Health Care Distributors,"Milford, Massachusetts",United States,,1000697,1
WEC,Wec Energy Group Inc,reports,Utilities,Electric Utilities,"Milwaukee, Wisconsin",United States,10/31/2008,783325,1
WFC,Wells Fargo,reports,Financials,Banks,"San Francisco, California",United States,6/30/1976,72971,1
HCN,Welltower Inc.,reports,Real Estate,REITs,"Toledo, Ohio",United States,1/30/2009,766704,1
WDC,Western Digital,reports,Information Technology,Computer Storage & Peripherals,"Irvine, California",United States,7/1/2009,106040,1
WU,Western Union Co,reports,Information Technology,Internet Software & Services,"Englewood, Colorado",United States,,1365135,1
WRK,WestRock Company,reports,Materials,Paper Packaging,"Richmond, Virginia",United States,,1636023,1
WY,Weyerhaeuser Corp.,reports,Real Estate,REITs,"Federal Way, Washington",United States,,106535,1
WHR,Whirlpool Corp.,reports,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",United States,,106640,1
WFM,Whole Foods Market,reports,Consumer Staples,Food Retail,"Austin, Texas",United States,,865436,1
WMB,Williams Cos.,reports,Energy,Oil & Gas Exploration & Production,"Tulsa, Oklahoma",United States,3/31/1975,107263,1
WLTW,Willis Towers Watson,reports,Financials,Insurance Brokers,London,United Kingdom,1/5/2016,1140536,0
WYN,Wyndham Worldwide,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Parsippany, New Jersey",United States,,1361658,1
